Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
Europe (RER),Metal,Steel Sheet,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8721/documentation,1.818,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Metal,Steel Sheet,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/2421/documentation,2.390,,,Ecoinvent,Ecoinvent V 3.11,,
Europe (RER),Metal,Powdercoat Steel,"metal working, average for metal product manufacturing+powder coating, steel",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","metal work: This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.
Powder Coat: The activity starts with the reception of the components at the facility. The material on which this activity is applied it is not included as input",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8721/documentation,1.818,,,Ecoinvent,Ecoinvent V 3.11-metal work+powder coating,,
Rest-of-World (RoW),Metal,Powdercoat Steel,"metal working, average for metal product manufacturing+powder coating, steel",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","metal work: This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.
Powder Coat: The activity starts with the reception of the components at the facility. The material on which this activity is applied it is not included as input",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/2421/documentation,2.390,,,Ecoinvent,Ecoinvent V 3.11-metal work+powder coating,,
Europe (RER),Metal,Wrought Aluminium,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,3.586,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Metal,Wrought Aluminium,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,4.157,,,Ecoinvent,Ecoinvent V 3.11,,
Europe (RER),Metal,Aluminium Section Bar,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,3.586,,,Ecoinvent,Ecoinvent V 3.11,,
Europe (RER),Metal,Aluminium Section Bar,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,4.268,,,Ecoinvent,Ecoinvent V 3.11,,
Europe (RER),Metal,Cast Aluminium,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,3.586,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Metal,Cast Aluminium,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,4.157,,,Ecoinvent,Ecoinvent V 3.11,,
,Metal,Chromed Steel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,"This EPD presents inventory and impact assessment results which combine the manufacturing stage (A1) of SDI structural sections with industry-average transport to fabrication (A2) and fabrication (A3) as published by AISC in the EPD for “Fabricated Hot-rolled Structural Sections” (American Institute of Steel Construction, 2021).",1,"Declared Unit: One metric ton (1,000 kg) of fabricated steel structural sections",EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf,Keep out of backend updates,(216*0.277778)/1000,0.060,EPD,EPD,,
China,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0501,,,,,,
Vietnam,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0377,,,,,,
Global,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0406,,,,,,
Czech Republic,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0397,,,,,,
France,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0046,,,,,,
Netherlands,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0265,,,,,,
Poland,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0576,,,,,,
Spain,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0121,,,,,,
Taiwan,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0462,,,,,,
United States ,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0289,,,,,,
India,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0862,,,,,,
United Kingdom,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0168,,,,,,
Rest-of-World,Metal,Chromed Steel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.0617,,,,,,
Europe (RER),Metal,Wrought Iron,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,3.586,,,"Ecoinvent - metal working, average for steel (used as proxy)",Ecoinvent V 3.11,,
United States.,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,A3 stage of the fabricated Structural Steel Sections,"This EPD presents inventory and impact assessment results which combine the manufacturing stage (A1) of SDI structural sections with industry-average transport to fabrication (A2) and fabrication (A3) as published by AISC in the EPD for “Fabricated Hot-rolled Structural Sections” (American Institute of Steel Construction, 2021).",1,"Declared Unit: One metric ton (1,000 kg) of fabricated steel structural sections",EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf,Keep out of backend updates,(216*0.277778)/1000,0.060,EPD,EPD,,
China,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0501,,,,,,
Vietnam,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0377,,,,,,
Global,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0406,,,,,,
Czech Republic,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0397,,,,,,
France,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0046,,,,,,
Netherlands,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0265,,,,,,
Poland,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0576,,,,,,
Spain,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0121,,,,,,
Taiwan,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0462,,,,,,
United States ,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0289,,,,,,
India,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0862,,,,,,
United Kingdom,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0168,,,,,,
Rest-of-World,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0617,,,,,,
Rest-of-World (RoW),Metal,Wrought Iron,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,4.157,,,,Ecoinvent V 3.11,,
